iter	MultiClass
172	0.8592888404
173	0.858312755
174	0.8577018281
175	0.8565611008
176	0.8559530893
177	0.8547990853
178	0.8541151654
179	0.8535970956
180	0.8529950965
181	0.8523004264
182	0.8518409271
183	0.8514013779
184	0.8507950459
185	0.8500081786
186	0.8491540804
187	0.8482193092
188	0.8477966821
189	0.847241405
190	0.8465412755
191	0.8461005136
192	0.8453713274
193	0.8448789098
194	0.8441428134
195	0.8432115416
196	0.8422949616
197	0.8411634891
198	0.8405993956
199	0.8398471093
200	0.8392238891
201	0.8388332398
202	0.8379005861
203	0.8372662382
204	0.8367145274
205	0.8357780822
206	0.8347173144
207	0.834068889
208	0.833635104
209	0.8331270748
210	0.8327027587
211	0.8319412982
212	0.8314943474
213	0.8308264773
214	0.8303625582
215	0.8295011806
216	0.8291073945
217	0.8285396973
218	0.8278569997
219	0.8271382391
220	0.8262917316
221	0.8255852607
222	0.8250053026
223	0.8244964113
224	0.8238362839
225	0.8233651409
226	0.8227030958
227	0.8221211102
228	0.8217354108
229	0.8213186494
230	0.8205081204
231	0.8199240654
232	0.8193007307
233	0.8188584921
234	0.8178776768
235	0.8175658826
236	0.8167399232
237	0.8162868103
238	0.8156614048
239	0.8153104574
240	0.8145895102
241	0.8138429239
242	0.8133789593
243	0.8127140255
244	0.8122730845
245	0.8117808251
246	0.8113775722
247	0.8107478575
248	0.8101566828
249	0.8097734361
250	0.8092682357
251	0.8087896365
252	0.8080833563
253	0.8077810394
254	0.8074340972
255	0.8067380648
256	0.8061062221
257	0.8055363328
258	0.805077232
259	0.8043910276
260	0.8037584955
261	0.8028540224
262	0.8023338718
263	0.8020242226
264	0.8014423752
265	0.800956386
266	0.8004455344
267	0.7999818848
268	0.7995681239
269	0.7987904965
270	0.798248699
271	0.797943376
272	0.7973723471
273	0.7968765632
274	0.7964984528
275	0.7960759046
276	0.7957235294
277	0.7953435564
278	0.794753926
279	0.7941605513
280	0.7935259053
281	0.7930758408
282	0.7926714044
283	0.7919910444
284	0.7912364363
285	0.7906622752
286	0.7903076398
287	0.7896323965
288	0.7889109775
289	0.7885091956
290	0.7880156318
291	0.7876257992
292	0.7872225611
293	0.7868964535
294	0.7864551895
295	0.7861360999
296	0.7856450221
297	0.7849855483
298	0.7843223266
299	0.7840743287
300	0.7836408852
301	0.7831263504
302	0.7824264727
303	0.7820248812
304	0.7813587926
305	0.7809563602
306	0.7806359432
307	0.780276988
308	0.7800407783
309	0.7794127954
310	0.779030197
311	0.7786649289
312	0.7781731373
313	0.7778091502
314	0.7773175527
315	0.7766820374
316	0.7759137028
317	0.77543163
318	0.775033405
319	0.7745806489
320	0.7742388585
321	0.7738738652
322	0.773400676
323	0.7727270264
324	0.7721507723
325	0.771530846
326	0.7712528373
327	0.7708870376
328	0.7704767392
329	0.7700489047
330	0.7696651906
331	0.7693821918
332	0.7689800714
333	0.7685764826
334	0.7680521712
335	0.7673780604
336	0.7668269545
337	0.7663216244
338	0.7658134116
339	0.7653733655
340	0.7649249905
341	0.7645329269
342	0.7639508778
343	0.7633441641
344	0.7626116493
345	0.7619920175
346	0.7614186231
347	0.76113574
348	0.7604717492
349	0.7600511836
350	0.7595843317
351	0.7591261436
352	0.758803078
353	0.7585795614
354	0.7583035979
355	0.7578567263
356	0.7574564613
357	0.7569312298
358	0.7566337725
359	0.7562112614
360	0.7559190553
361	0.755308452
362	0.7548684809
363	0.7544373762
364	0.7537551076
365	0.7530790341
366	0.7527179622
367	0.752391736
368	0.7518656379
369	0.7515449324
370	0.7510093138
371	0.7501830693
372	0.7495222404
373	0.7488476961
374	0.7485795426
375	0.748034862
376	0.7476940308
377	0.7473359977
378	0.7467829849
379	0.7463126526
380	0.7457875181
381	0.7452689678
382	0.7447349227
383	0.7443959071
384	0.7437707806
385	0.7434448538
386	0.7427378637
387	0.7420910452
388	0.7417820367
389	0.7414579254
390	0.7410415423
391	0.7406901809
392	0.7403140821
393	0.740019881
394	0.7395971119
395	0.7392012695
396	0.7384725526
397	0.7380699321
398	0.7374696843
399	0.7369458233
400	0.7365878134
401	0.7361730522
402	0.7358490179
403	0.7353147027
404	0.7349248358
405	0.7347386431
406	0.7343274575
407	0.7337960905
408	0.7332516913
409	0.7328618955
410	0.7325301624
411	0.7322037828
412	0.7316881687
413	0.7313289713
414	0.7306781975
415	0.7302488664
416	0.7298684472
417	0.729436598
418	0.7290834912
419	0.7286122093
420	0.7281583336
421	0.7280115601
422	0.7277486078
423	0.7273272093
424	0.7270955465
425	0.726492419
426	0.7259450431
427	0.725645453
428	0.725079718
429	0.7245503041
430	0.7243080192
431	0.7239129341
432	0.723511881
433	0.7231070539
434	0.7227728765
435	0.7221825247
436	0.7216853883
437	0.7211191118
438	0.7208928679
439	0.7205456863
440	0.7201655553
441	0.7199147744
442	0.7194557243
443	0.7190234914
444	0.7186877769
445	0.71833627
446	0.7178388948
447	0.7175248821
448	0.7173069785
449	0.7169656644
450	0.7167695677
451	0.7163494956
452	0.7160347051
453	0.715796619
454	0.7155567056
455	0.7151776454
456	0.7147475464
457	0.7142056373
458	0.7140340118
459	0.7137353978
460	0.7133237396
461	0.7129780578
462	0.7123989654
463	0.7119954705
464	0.711514061
465	0.7112299485
466	0.7107452048
467	0.7102775557
468	0.7100918468
469	0.7097433392
470	0.7094948619
471	0.7091147026
472	0.7088429384
473	0.7085979522
474	0.7080959892
475	0.7076585499
476	0.707163918
477	0.7066604996
478	0.7061959654
479	0.7059043326
480	0.7052022318
481	0.7048002703
482	0.7045385174
483	0.7042348594
484	0.7039220405
485	0.7033167348
486	0.7028800015
487	0.7026870217
488	0.702297383
489	0.7016680011
490	0.7012373703
491	0.7008278907
492	0.7004938804
493	0.7001266537
494	0.6997622738
495	0.6993364748
496	0.6990883106
497	0.69871415
498	0.6983832064
499	0.6980615094
500	0.6975570806
501	0.6972078727
502	0.6968226934
503	0.6963046711
504	0.6956409054
505	0.6954254152
506	0.6951240259
507	0.6948269051
508	0.6945262345
509	0.6942216417
510	0.6938147346
511	0.6934202461
512	0.6931564853
513	0.6929039247
514	0.6923866514
515	0.6921640219
516	0.6918683169
517	0.6914918653
518	0.6913232661
519	0.691061712
520	0.6905431819
521	0.6903065401
522	0.6901222628
523	0.6898451287
524	0.6895191946
525	0.6891841159
526	0.6887090628
527	0.688515188
528	0.688003082
529	0.6875126422
530	0.6871765968
531	0.6868336048
532	0.6863424699
533	0.6859453236
534	0.6855280625
535	0.6852334738
536	0.6850097872
537	0.6845665998
538	0.6843342265
539	0.6840686113
540	0.6836325537
541	0.6831207607
542	0.6828168137
543	0.6823841576
544	0.6820278467
545	0.6816713236
546	0.6812659545
547	0.6809275701
548	0.6806501177
549	0.6802235746
550	0.6799592371
551	0.6794912529
552	0.6791368152
553	0.678783682
554	0.6781310629
555	0.6779077424
556	0.6774109431
557	0.6769461086
558	0.6765971609
559	0.6764693163
560	0.6763125621
561	0.6759493055
562	0.6755167534
563	0.6750976388
564	0.6746411901
565	0.6743096366
566	0.6740587003
567	0.6737467687
568	0.6735254564
569	0.6732835424
570	0.6729639318
571	0.6727780284
572	0.6724182859
573	0.6721454364
574	0.6719279376
575	0.6715335979
576	0.671124714
577	0.6708175487
578	0.670420519
579	0.6699981831
580	0.6696946781
581	0.6693350039
582	0.6688555329
583	0.6684666531
584	0.6680152175
585	0.6677953956
586	0.667437849
587	0.6670647732
588	0.6668749307
589	0.6665704418
590	0.6661471523
591	0.6658964312
592	0.6655224279
593	0.6652412982
594	0.6649688124
595	0.6647648335
596	0.6645748827
597	0.6643063049
598	0.6639503891
599	0.6634562446
600	0.6632354305
601	0.6626088109
602	0.662110518
603	0.6617326027
604	0.661520098
605	0.66105938
606	0.6607522005
607	0.6603838759
608	0.660185072
609	0.6598204236
610	0.6594375185
611	0.6591184012
612	0.6588179204
613	0.6585497128
614	0.6580615661
615	0.6578449095
616	0.6574464866
617	0.6569711453
618	0.6566992829
619	0.6562526361
620	0.6558694673
621	0.6555097597
622	0.654914947
623	0.654620143
624	0.6543867569
625	0.6541298614
626	0.653934962
627	0.6537636103
628	0.6534602855
629	0.6531427587
630	0.6528441649
631	0.652549343
632	0.6523784642
633	0.6519880358
634	0.6517460759
635	0.6513912655
636	0.6511323428
637	0.6507789711
638	0.6505240126
639	0.6502144687
640	0.6499765754
641	0.6497677738
642	0.6495368533
643	0.6491174781
644	0.6487517212
645	0.6482972654
646	0.6479673117
647	0.6476280545
648	0.6473443562
649	0.6469807602
650	0.6467005419
651	0.6464252788
652	0.6462399287
653	0.645800277
654	0.6456695607
655	0.6454304838
656	0.645190232
657	0.644814123
658	0.6445863471
659	0.6442613354
660	0.6439879894
661	0.6436901822
662	0.6432292497
663	0.6430126923
664	0.642863152
665	0.6425112534
666	0.6421496852
667	0.641806897
668	0.6414668575
669	0.6412132882
670	0.6407845664
671	0.6406298975
672	0.6403212316
673	0.6399272337
674	0.6396763655
675	0.6394706894
676	0.6391316784
677	0.6387909859
678	0.6386213148
679	0.6383489014
680	0.6382091294
681	0.6379665652
682	0.6376444581
683	0.6374571781
684	0.6372369121
685	0.6371043827
686	0.6366949142
687	0.6362974552
688	0.6360579416
689	0.6358084079
690	0.6356444649
691	0.6353267472
692	0.6348266666
693	0.6345951738
694	0.6343229799
695	0.6342072468
696	0.6338345489
697	0.633517259
698	0.6332311967
699	0.6328828512
700	0.6326800235
701	0.6322443044
702	0.632078813
703	0.6318493779
704	0.6314857866
705	0.6312216281
706	0.630870606
707	0.6305930051
708	0.6304246174
709	0.6302768888
710	0.6299957193
711	0.6296995074
712	0.6294914772
713	0.6291581351
714	0.6289225306
715	0.6284663845
716	0.6283310244
717	0.6280350364
718	0.6277595256
719	0.6275223971
720	0.627332593
721	0.6270712856
722	0.6266562904
723	0.6261876439
724	0.6257601873
725	0.6253768691
726	0.6249293917
727	0.6246343223
728	0.6244621117
729	0.6242028719
730	0.6239699952
731	0.6235630288
732	0.6233381028
733	0.6231598862
734	0.6229765753
735	0.6226743327
736	0.6224858095
737	0.6222957801
738	0.6219462294
739	0.6217222321
740	0.6215124384
741	0.6212318852
742	0.6208570254
743	0.6205911845
744	0.6203639316
745	0.619958755
746	0.6195570066
747	0.6193149214
748	0.6190308585
749	0.6186098518
750	0.6184516187
751	0.6180259716
752	0.6177733061
753	0.6175168758
754	0.6172654395
755	0.6171237008
756	0.6169185381
757	0.6166657305
758	0.6162709086
759	0.6159179996
760	0.6157482817
761	0.6154317811
762	0.6152341858
763	0.6150118192
764	0.6148060428
765	0.614684607
766	0.6143745522
767	0.6141690333
768	0.6139328524
769	0.6136433955
770	0.6133547584
771	0.6130444252
772	0.6127275332
773	0.6125210229
774	0.6121043767
775	0.6118114687
776	0.6115543272
777	0.6113293532
778	0.6111100631
779	0.6105308025
780	0.6102279752
781	0.6099268972
782	0.6097558933
783	0.6094436967
784	0.6091219982
785	0.6089594403
786	0.6087450525
787	0.608481598
788	0.6082127394
789	0.607962823
790	0.6076500947
791	0.6074373828
792	0.6069357456
793	0.6065279956
794	0.6063209891
795	0.6060674503
796	0.6056898503
797	0.6055050533
798	0.6053666182
799	0.605129073
800	0.6048931265
801	0.6047342172
802	0.6043688695
803	0.6040340715
804	0.603785767
805	0.6035130727
806	0.6031715125
807	0.6026873059
808	0.6023754576
809	0.6021547149
810	0.6017148231
811	0.6014737392
812	0.6012398438
813	0.6008748242
814	0.600769352
815	0.6005690278
816	0.600287868
817	0.600077511
818	0.5998793211
819	0.5995956221
820	0.5992816324
821	0.5990051488
822	0.5985495774
823	0.59827886
824	0.5979704946
825	0.5976862975
826	0.5974612839
827	0.5971027803
828	0.5967869352
829	0.5965265901
830	0.5963243893
831	0.5960588719
832	0.5957414998
833	0.5953898161
834	0.5951840345
835	0.5950070774
836	0.5948250284
837	0.5945326996
838	0.5942817619
839	0.5940954291
840	0.5938524703
841	0.593488773
842	0.5931670467
843	0.5927299812
844	0.5922146697
845	0.5917802123
846	0.5915067293
847	0.5911364644
848	0.5907846977
849	0.5905626481
850	0.5903321078
851	0.5900137085
852	0.5898063524
853	0.5897008641
854	0.589111034
855	0.5888220975
856	0.588583267
857	0.5884219583
858	0.588172941
859	0.5879776116
860	0.5877196435
861	0.5874224036
862	0.5870861556
863	0.586816543
864	0.5866041148
865	0.586279049
866	0.5860881749
867	0.5856134927
868	0.5852253998
869	0.584876074
870	0.5846161511
871	0.5842777284
872	0.5839802435
873	0.5837731273
874	0.5834942359
875	0.5832850047
876	0.5828450665
877	0.5826318001
878	0.582328033
879	0.5820377977
880	0.5817680333
881	0.5816425756
882	0.5814325852
883	0.5812734029
884	0.5810945061
885	0.5808104408
886	0.5805218406
887	0.5802849135
888	0.579868691
889	0.5796421237
890	0.5792660613
891	0.579017566
892	0.5788173652
893	0.5784723648
894	0.5783242432
895	0.5781285208
896	0.5779768626
897	0.5778346014
898	0.5775587544
899	0.5774084307
900	0.5771154627
901	0.5768363327
902	0.5767015622
903	0.5763255817
904	0.5760994182
905	0.5758209671
906	0.5754634862
907	0.5752017492
908	0.5750720374
909	0.5747105006
910	0.5743799955
911	0.5741387282
912	0.5739238719
913	0.5736851491
914	0.5735765482
915	0.5733569217
916	0.573047861
917	0.572923495
918	0.5726179419
919	0.5721528182
920	0.5718706679
921	0.5715334195
922	0.5710893115
923	0.57088864
924	0.5705116621
925	0.5702793767
926	0.5700962123
927	0.5698885456
928	0.5695588938
929	0.5692805134
930	0.5689982282
931	0.5689038998
932	0.568498659
933	0.568192898
934	0.5678445021
935	0.5675529225
936	0.5672463743
937	0.5670313967
938	0.5667298948
939	0.5665568052
940	0.5663106835
941	0.5660322931
942	0.5659489219
943	0.565809328
944	0.5655291197
945	0.5653565439
946	0.5651412765
947	0.5648723116
948	0.5647917831
949	0.5645897525
950	0.5643706315
951	0.5640179734
952	0.5638716977
953	0.563450622
954	0.563232142
955	0.5630679697
956	0.5628549695
957	0.5626662466
958	0.5622773814
959	0.5620404613
960	0.5616690462
961	0.5613899626
962	0.5611016655
963	0.5610166867
964	0.5607990096
965	0.5606499456
966	0.5602983416
967	0.5601348774
968	0.5597729478
969	0.5593942132
970	0.5591122489
971	0.558903769
972	0.5586000936
973	0.558249504
974	0.5579735151
975	0.5575910344
976	0.5573107929
977	0.5570852058
978	0.5568711583
979	0.5565525532
980	0.556290743
981	0.5561271299
982	0.5558156162
983	0.5556469979
984	0.555291662
985	0.5551334033
986	0.5548118029
987	0.5544114625
988	0.5542313621
989	0.5539139708
990	0.5538397279
991	0.5535305188
992	0.5533403031
993	0.5532266482
994	0.5530482607
995	0.5529400963
996	0.5526669458
997	0.5524259585
998	0.552197919
999	0.551996002
